Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6348588,2017-12-05 23:36:33,2020-06-19 14:02:01,142589,679115064,0,4762,574,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR6348588/SRR6348588.2,SRX3445579,KP1766_Nanopore,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP126176,PRJNA420753,2,420753,SRS2735982,SAMN08133262,simple,573,Klebsiella pneumoniae,KP1766,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,CD96F9A2BEABD046C66C9FFE8D14BB45,E6CED04A36CB2E70D0FB422088EB0514
SRR6348593,2017-12-05 23:36:33,2017-12-05 14:46:39,1093803,476925374,1093803,436,313,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6348593/SRR6348593.1,SRX3445574,KP1766,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP126176,PRJNA420753,2,420753,SRS2735982,SAMN08133262,simple,573,Klebsiella pneumoniae,KP1766,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,0E7262EF471FDF43600859FED0777563,894C9F8960F510F520F19C02D5C3AD8D
SRR6348594,2017-12-05 23:36:33,2017-12-05 14:46:18,582974,267355990,582974,458,173,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6348594/SRR6348594.1,SRX3445573,KP1767,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP126176,PRJNA420753,2,420753,SRS2735979,SAMN08133263,simple,573,Klebsiella pneumoniae,KP1767,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,84437A952E8C0A5B1BD43DC6FFB7AC45,90D13A99FC1C28DE1C776B30928BF9CA
SRR6348595,2017-12-05 23:36:33,2017-12-05 14:47:34,938398,407248758,938398,433,261,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6348595/SRR6348595.1,SRX3445572,KP1768,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP126176,PRJNA420753,2,420753,SRS2735980,SAMN08133260,simple,573,Klebsiella pneumoniae,KP1768,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,C604643C80C59185A1D382D234B1F716,319586C97B8933E86A283F6064F5E3DB
SRR6348590,2017-12-05 23:36:33,2020-06-19 14:01:42,76858,320259401,0,4166,271,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR6348590/SRR6348590.2,SRX3445577,KP1768_Nanopore,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP126176,PRJNA420753,2,420753,SRS2735980,SAMN08133260,simple,573,Klebsiella pneumoniae,KP1768,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,5EB645825FCD966F39ABBDADA965102C,96F588533E266A37563FF863ABF3A05C
SRR6348591,2017-12-05 23:36:33,2017-12-05 14:46:36,1239029,575683482,1239029,464,375,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6348591/SRR6348591.1,SRX3445576,KP1769,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP126176,PRJNA420753,2,420753,SRS2735984,SAMN08133264,simple,573,Klebsiella pneumoniae,KP1769,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,D2F54A6E5AC2C43EB62E0D5AA03EFCD9,4FA8CD3EAF5C8ED2971DF877F65D734F
SRR6348596,2017-12-05 23:36:33,2017-12-05 14:47:01,428631,173293225,428631,404,87,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6348596/SRR6348596.1,SRX3445571,NR5632,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP126176,PRJNA420753,2,420753,SRS2735981,SAMN08133261,simple,573,Klebsiella pneumoniae,NR5632,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,4ADA70E6470F81A5110266896236FFDB,8C0CDC0A123554D0BCDA29C8BEB950C3
SRR6348587,2017-12-05 23:36:33,2020-06-19 13:59:35,68719,304230321,0,4427,257,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR6348587/SRR6348587.2,SRX3445580,NR5632_Nanopore,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP126176,PRJNA420753,2,420753,SRS2735981,SAMN08133261,simple,573,Klebsiella pneumoniae,NR5632,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,8737FCBAFFE80B48016D3AC1470EAA00,48B8C7E8337CBD1882793034CB145CD5
SRR6348592,2017-12-05 23:36:33,2017-12-05 14:46:06,733417,282379943,733417,385,149,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6348592/SRR6348592.1,SRX3445575,NR5706,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP126176,PRJNA420753,2,420753,SRS2735983,SAMN08133265,simple,573,Klebsiella pneumoniae,NR5706,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,3B48E52ECED9448B81DF6DB7B7C364E8,0543221A430699EFC3D6185F78B75D88
SRR6348589,2017-12-05 23:36:33,2017-12-05 14:44:43,601739,295631105,601739,491,154,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6348589/SRR6348589.1,SRX3445578,NR5793,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP126176,PRJNA420753,2,420753,SRS2735985,SAMN08133266,simple,573,Klebsiella pneumoniae,NR5793,,,,,,,no,,,,,MKA2136@CUMC.COLUMBIA.EDU'S SHARED SUBMISSIONS,SRA636080,,public,4D6EC31AFC49E7E5CFE70F5F2A6E87AA,119CB7C16B4D3F18DD3E2D10E836754F
