Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR6160912,2021-07-03 09:04:02,2021-07-12 11:54:58,2521407,1265746314,2521407,502,853,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160912,ERX5797364,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,38EA60E2D757FC71D3324822F958C263,EA6F9BD15059DD3605A6FF5C821F5D9C
ERR6160913,2021-07-03 09:04:02,2021-07-12 11:51:15,658842,330738684,658842,502,228,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160913,ERX5797365,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,8E151BA0EDFA51F4BE88F61AD138A190,CAA764280496D86202CEB4203932FF2E
ERR6160914,2021-07-03 09:04:02,2021-07-12 11:55:22,2398725,1204159950,2398725,502,817,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160914,ERX5797366,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,4FA8CC1619741A671F6C4F79E80F7753,228ABDEA47907078ED54D9F783E549E7
ERR6160915,2021-07-03 09:04:02,2021-07-12 11:53:56,2112819,1060635138,2112819,502,744,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160915,ERX5797367,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,20FE4B31847E5863FBC733CC5F2DEBDF,F3746662D2ABD4A10259DB403CDDB346
ERR6160916,2021-07-03 09:04:02,2021-07-12 11:54:14,1511254,758649508,1511254,502,513,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160916,ERX5797368,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,000B6D47183C6E12A7F6E937830ECC9F,38DDCFCE5FEA8D3D6F8AB3572D1D16FD
ERR6160917,2021-07-03 09:04:02,2021-07-12 11:53:24,1646483,826534466,1646483,502,563,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160917,ERX5797369,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,972380F3A18A3A4B2EC1B5DD1DF9B304,4FE3C4BC4B2A941058032CE7CA7954BB
ERR6160918,2021-07-03 09:04:02,2021-07-12 11:53:14,1485529,745735558,1485529,502,507,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160918,ERX5797370,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,0A140B6CDB071F820943E6C86D53F04E,B1C68E49DB065F26D1FA7818AE728210
ERR6160919,2021-07-03 09:04:02,2021-07-12 11:51:41,695793,349288086,695793,502,240,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160919,ERX5797371,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,B1B6A3A6A40A9AEDB6999A1045B3240C,050B2E5F41AB168C86C974B09D5CB705
ERR6160920,2021-07-03 09:04:02,2021-07-12 11:53:34,1086770,545558540,1086770,502,375,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160920,ERX5797372,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,50AC11AC6F521248DBDE3065209DD6C4,FDB5420414FDD681E8F9B133B9996A8F
ERR6160921,2021-07-03 09:04:02,2021-07-12 11:51:44,753961,378488422,753961,502,260,,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR6160/ERR6160921,ERX5797373,unspecified,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP130124,PRJEB45949,,742645,ERS7044596,SAMEA9310024,simple,562,Escherichia coli,SAMEA9310024,,,,,,,no,,,,,UNIVERSITY OF BRISTOL,ERA5096636,,public,48F3593D889E979456C73BF4F2734F04,06847175581D4441A08818EE1F10B239
